,BAZ2B,,DNAJC10
,DPP4,,TFPI
,KCNH7,,PMS1
,COBLL1,,GLS
,SCN7A,,ANKRD44
,B3GALT1-AS1,,ABI2
,BBS5,,CPO
,MAP3K20,,CPS1
,ATF2,,LINC01963
,EVX2,,DIRC3-AS1
,CERKL,,ABCB6
,DUSP19,,CCL20
,CALCRL,,ALPI
,ANKAR,,ARL4C
,C2orf88,,ASB1
,HECW2,,ATG4B
,AOX3P-AOX2P,,CRBN
,EEF1B2,,BHLHE40
,CCNYL1,,ARPC4
,CPS1,,ANKRD28
,ABCA12,,DAZL
,IGFBP2,,PLCL2
,AAMP,,NGLY1
,ACSL3,,CLASP2
,FBXO36,,ACAA1
,CHRND,,EIF1B-AS1
,AGAP1,,CCDC13
,ANKMY1,,ALS2CL
,ITPR1,,ABHD14A-ACY1
,CAV3,,ABHD6
,ATG7,,ATXN7
,ANKRD28,,ADAMTS9
,PLCL2,,LRIG1
,EFHB,,FRMD4B
,AZI2,,ARL6
,ARPP21,,CMSS1
,MOBP,,ABI3BP
,CTNNB1,,CD47
,ABHD5,,ABHD10
,CACNA2D3-AS1,,ADPRH
,ATXN7,,ADCY5
,ADAMTS9,,ABTB1
,ADAMTS9,,COL6A5
,EOGT,,ACP3
,ARL13B,,BFSP2-AS1
,DCBLD2,,PPP2R3A
,ABI3BP,,ARMC8
,ALCAM,,ATR
,C3orf85,,AGTR1
,DRD3,,CLRN1
,HGD,,ARHGEF26
,CHCHD6,,RSRC1
,COL6A4P2,,IFT80
,ASTE1,,GPR160
,ACAD11,,FNDC3B
,AMOTL2,,ACTL6A
,MSL2,,ABCC5
,CEP70,,ATP13A5-AS1
,CLSTN2,,CPN2
,ATR,,LYAR
,ANKUB1,,C4orf50
,AADACL2,,ABLIM2
,ARHGEF26,,DCAF16
,GFM1,,KCNIP4
,B3GALNT1,,ANAPC4
,BCHE,,ARAP2
,CLDN11,,C4orf19
,ECT2,,FAM114A1
,DNAJC19,,CNGA1
,BCL6,,SCFD2
,ATP13A4-AS1,,AASDH
,ATP13A3,,IGFBP7
,FAM86EP,,CSN1S1
,EVC2,,SLC4A4
,LINC02447,,CXCL2
,CLNK,,CCNI
,BST1,,LINC00989
,LCORL,,ABRAXAS1
,CCDC149,,ARHGAP24
,ARAP2,,ABCG2
,ARAP2,,EMCN
,KLF3-AS1,,ENPEP
,APBB2,,ANK2
,CWH43,,LINC02502
,CLOCK,,BBS12
,AASDH,,C4orf33
,ADGRL3,,LSM6
,AMTN,,NR3C2
,AFM,,GATB
,ART3,,DCHS2
,BMP2K,,MAP9
,ANTXR2,,PDGFC
,CDS1,,NEK1
,AFF1,,CASP3
,ADH1B,,F11
,BANK1,,LINC02492
,AIMP1,,AHRR
,ALPK1,,NSUN2
,ARSJ,,C5orf49
,C4orf3,,ATPSCKMT
,ADAD1,,DNAH5
,ANKRD50,,C5orf22
,ABHD18,,ADAMTS12
,CLGN,,AGXT2
,GAB1,,CAPSL
,ABCE1,,CPLANE1
,EDNRA,,EGFLAM
,DCLK2,,DAB2
,ARFIP1,,C6
,LRAT,,CCL28
,CTSO,,CCNO
,C4orf46,,ADAMTS6
,APELA,,LOC101929599
,CBR4,,CARTPT
